2026-09-24	redis/redis	intro	README.md	README.md	501	14	570	853	1193	50	24	22	34	104	2	1
2026-09-24	redis/redis	contrib	CONTRIBUTING.md	CONTRIBUTING.md	118	1	570	2	2	0	0	3	3	0	0	0
2026-09-24	rolldown/rolldown	intro	README.md	README.md	101	11	2916	27	18	0	0	0	6	37	0	0
2026-09-24	rolldown/rolldown	agent	AGENTS.md	AGENTS.md	106	16	2916	122	23	5	0	0	13	0	23	22
2026-09-24	rolldown/rolldown	contrib	CONTRIBUTING.md	CONTRIBUTING.md	7	1	2916	2	2	0	0	0	1	0	0	0
2026-09-24	rust-lang/rust-analyzer	intro	README.md	README.md	66	2	2286	3	1	0	0	1	6	11	0	0
2026-09-24	rust-lang/rust-analyzer	arch	docs/book/src/contributing/architecture.md	docs/book/src/contributing/architecture.md	517	4	2286	3	5	27	0	5	37	18	41	33
2026-09-24	rust-lang/rust-analyzer	agent	AGENTS.md	CLAUDE.md	60	2	2286	89	29	0	0	0	8	0	5	5
2026-09-24	rust-lang/rust-analyzer	contrib	CONTRIBUTING.md	CONTRIBUTING.md	41	4	2286	17	6	0	0	0	4	3	0	0
2026-09-24	sst/opencode	intro	README.md	README.md	129	42	12931	139	120	20	1	1	12	9	0	0
2026-09-24	sst/opencode	agent	AGENTS.md	AGENTS.md	161	34	12931	293	148	53	0	0	13	0	10	3
2026-09-24	sst/opencode	contrib	CONTRIBUTING.md	CONTRIBUTING.md	272	25	12931	353	81	21	14	1	23	9	7	6
2026-09-24	tauri-apps/tauri	intro	README.md	README.md	96	1	519	1	1	1	1	6	9	32	0	0
2026-09-24	tauri-apps/tauri	arch	ARCHITECTURE.md	ARCHITECTURE.md	193	0	519	0	0	8	6	1	33	26	3	2
2026-09-24	tigerbeetle/tigerbeetle	intro	README.md	README.md	72	3	1311	17	3	42	5	0	3	5	0	0
2026-09-24	tigerbeetle/tigerbeetle	arch	docs/ARCHITECTURE.md	docs/ARCHITECTURE.md	710	6	1311	763	53	0	0	16	32	47	0	0
2026-09-24	tursodatabase/turso	intro	README.md	README.md	491	26	8436	185	90	124	9	7	36	28	3	0
2026-09-24	tursodatabase/turso	agent	AGENTS.md	AGENTS.md	166	31	8436	340	174	42	8	0	15	9	24	23
2026-09-24	tursodatabase/turso	contrib	CONTRIBUTING.md	CONTRIBUTING.md	580	26	8436	319	72	120	25	2	33	48	19	9
2026-09-24	typst/typst	intro	README.md	README.md	285	2	973	4	4	23	2	0	16	9	1	0
2026-09-24	typst/typst	arch	docs/dev/architecture.md	docs/dev/architecture.md	198	2	973	5	7	0	0	0	9	1	16	16
